Sender,Name,Tier,Topic,Cadence,Why,Approved
techpresso@dupple.com,Techpresso,1,ai,daily,Several stories an issue and it links out to the original. Best hit rate for the lane.,yes
hello@mindstream.news,Mindstream,1,ai,daily,"Daily AI news with a business angle. Names companies and numbers, which is what a fact needs.",yes
aicheatcode@substack.com,AI Cheat Code,1,ai,frequent,Model comparisons and practical capability changes. Close to what her audience is deciding about.,yes
maverick@maltin.com,Maverick,1,ai,frequent,AI releases plus the practical trick angle. Same posture as her own guide.,yes
claudenotebook@substack.com,Claude Notebook,1,ai,weekly,Essay shaped rather than news shaped. Better for a backbone than for a number.,yes
paul@shopifreaks.com,Shopifreaks,2,creator,weekly,"Dense ecommerce and commerce weekly, 294 issues in. Well sourced and unusually specific.",later
news@thehustle.co,The Hustle,2,creator,daily,"Business stories with a creator angle. Reliable for the turn, check every figure.",later
founderbrew@morningbrew.com,Founder Brew,2,creator,daily,"Entrepreneurship. Good for backbone, thin on hard numbers.",later
newsletter@mail.bubble.io,Bubble,2,creator,occasional,Publishes real data reports off its own platform. A report on 250000 live apps is a primary source.,later
noreply@skool.com,Women Build AI digest,2,ai,weekly,Community digest in her exact niche. Treat every claim as a lead only.,later
creator@shop.tiktok.com,TikTok Shop Creator,3,creator,frequent,"When TikTok announces a policy or a feature this IS the primary source, not a summary of one.",yes
creator-support@shop.tiktok.com,TikTok Shop Support,3,creator,weekly,Same. Platform announcements are their own source.,yes
store-news@amazon.com,Amazon Associates,3,creator,occasional,"Affiliate rate and term changes announced by Amazon. Primary, and directly useful to her audience.",yes
sabrina@blotato.com,Blotato,3,automation,occasional,Tooling she actually uses. Primary for its own product changes.,yes
target@duel.technology,Club Target,3,creator,weekly,"Her real partnership. Already its own lane, listed so the trivia hunt does not double dip.",yes
