ShotID,Block,Minutes,Delivery,Serves,Setup,Direction,Props,CesaOutfit,Reusable
CF-01,A Cesa fashion,5,cesa,"HAL-009, HAL-013, HAL-022","Cesa seated, plain wall or grass, camera at her eye level not above",Hold 12 seconds. Do not call her name. Let her look away and back. The look away is the shot.,plain backdrop,Halloween: witch hat or pumpkin sweater,"every Halloween fact, every year"
CF-02,A Cesa fashion,5,cesa,"HAL-016, HAL-020","Same seat, second Halloween outfit",Get 1 frame where she is looking directly down the lens. That frame is the thumbnail.,plain backdrop,Halloween: skeleton or bat print,"Halloween, and any 'she is unbothered' turn"
CF-03,A Cesa fashion,5,cesa,"XMS-001, XMS-015, XMS-012","Warm indoor light, blanket or chair",Hold 12 seconds. Let her settle rather than posing her.,"throw blanket, warm lamp",Christmas: red sweater or antlers,every Christmas fact
CF-04,A Cesa fashion,5,cesa,"THX-004, THX-006, THX-007","Kitchen or table edge, daylight",She does not need to look at the camera. Warm and domestic beats posed.,"wooden board, linen",Thanksgiving: rust or plaid,Thanksgiving lane
CF-05,A Cesa fashion,5,cesa,"VAL-004, VAL-005, VAL-007","Soft indoor light, pale background",Hold longer than feels right. 15 seconds.,none,Valentine's: pink or heart print,"the entire Valentine lane, February"
CF-06,A Cesa fashion,5,cesa,"NYD-002, NYD-003, NYE-003","Evening lamp light, dark background",Low light on purpose. This lane is the only one that should look like night.,string lights out of focus behind,New Year: sparkle collar or bow,"New Year and NYE, both ends of the calendar"
CF-07,A Cesa fashion,5,cesa,"EAS-003, EAS-005, STP-006","Outdoors if the light is good, grass",Spring lane. Brighter and flatter than the rest on purpose.,none,Spring: pastel or bunny ears,Easter and St Patrick's
CF-08,A Cesa fashion,10,cesa,any 'she is 19' turn,"No outfit. Cesa exactly as she is, asleep or settled","This is the most important shot of the day. No costume, no prompt. Just her, held for 30 seconds.",none,"none, and that is the point",the anchor shot for the whole account
AF-01,B Amanda to camera,6,face,"MOM-002, MOM-004","Sit down, plain wall, phone at eye height, window light on your face",Anna Jarvis destroyed herself over the holiday she invented. Say it flat. No wry face.,none,,"Mother's Day, every year"
AF-02,B Amanda to camera,6,face,THX-004,"Same setup, no reset","36 years of letters, 5 presidents said no. Deliver the number and stop talking.",none,,Thanksgiving
AF-03,B Amanda to camera,6,face,"HAL-004, HAL-020",Same setup,The poisoned candy panic has no case behind it. Land on 'and it changed how a whole country parents'.,none,,"Halloween, and any 'we believed it anyway' turn"
AF-04,B Amanda to camera,6,face,"DAD-003, DAD-005",Same setup,"The men it was for asked it to stop for 58 years. Dry, not mocking.",none,,Father's Day
AF-05,B Amanda to camera,6,face,LAB-004,Same setup,They gave up a day's pay to march for the day off. Let that sit before the turn.,none,,"Labor Day, and any 'somebody paid for this' turn"
AF-06,B Amanda to camera,8,face,"open, the register that worked","Same setup, but say this one to the lens like a person not a script","Coming home after a shift. What she does. What it costs. This is the 7,726 view register and it is the only one proven on your own account.",none,,the highest value clip of the weekend
AF-07,B Amanda to camera,7,face,reaction cutaways,Same setup,"5 silent reactions, 4 seconds each: unimpressed, tired, quietly amused, caught out, done talking. No words.",none,,"cutaway inserts for any reel, forever"
BR-01,C B-roll,4,broll,HAL-019,"A turnip and a pumpkin on a counter, daylight",Slow pan across both. The whole fact is that one replaced the other.,"1 turnip, 1 small pumpkin",,"Halloween, permanently"
BR-02,C B-roll,4,broll,HAL-001 to HAL-022 generally,"A candle burning, dark room, close",Hold 20 seconds unmoving. Atmosphere plate for any spooky fact.,candle,,every Halloween typography reel that wants a plate
BR-03,C B-roll,4,broll,XMS lane,"String lights out of focus, dark","Rack focus once, slowly, and stop.",string lights,,every Christmas fact
BR-04,C B-roll,4,broll,"THX-006, THX-008","An empty set table, no food, morning light",Slow push in. The emptiness is the point for a fact about a menu invented later.,"plates, linen",,Thanksgiving
BR-05,C B-roll,4,broll,"BLF-003, BLF-004, BLF-005","Hands counting cash, or a receipt on a counter","Tight, unglamorous, no face. Black Friday was a complaint before it was a sale.",cash or a long receipt,,"Black Friday, and any money fact"
BR-06,C B-roll,5,broll,"NYD lane, NYE lane","A clock face, or a window at dusk",Hold 20 seconds. Do not move the camera.,clock,,"New Year, both ends"
BR-07,C B-roll,5,broll,open,"Your hands doing something ordinary. Making coffee, folding, closing a door","3 clips, 15 seconds each. These become the plate under any confessional line.",none,,"universal, use anywhere"
