Rule,Value,Evidence,Status
minimum-days-between-reposts,45,"The sleeping position clip ran 13 Aug for 1865 views and 28 Aug for 1590. 15 days apart, 15 percent worse. 15 days is too close.",hypothesis
caption-must-change,yes,"Both runs used the same caption. If the clip repeats, the caption should not.",rule
repost-passes-if,>=80% of the original view count,"A repost that clears 80 percent is still working. Below that, retire the clip rather than space it further.",hypothesis
retire-after,2 consecutive failed reposts,"Two runs under 80 percent means the clip is spent, not badly timed.",rule
never-duplicate-in-queue,yes,37 exact duplicates were sitting in a 200 slot cap on 01 Sep 2026. Reposting is fine. Queueing the same caption 5 times is not.,rule
media-must-change,yes,"Amanda, Sep 3: a recycled caption must not wear the media it already wore on that platform. She watched the Hocus Pocus repeat go out with the identical picture and caption, and the schedule held Nightmare and The Nightmare Before Christmas twice each on Instagram with the same file. gm_repost_media_check.py reads the schedule against the published record and refuses it. Active carousel campaigns are exempt, their frame sets repeat as approved. The replacement visual is not a reshuffle of the bank: new imagery, matched to the caption's own theme, per her direction pending final confirmation.",rule
enforcement,"gm_queue_plan.py reports it, a human still has to act on it","Sep 2: the towels carousel was scheduled twice on Instagram 4 days apart, and a furnace filter post twice 2 days apart. The 45 day rule existed and neither was caught, because nothing was reading the queue for repeats.",note
same-shoot-is-one-look,yes,"Sep 3: Hocus Pocus published on cesa-in-a-hoodie-2 and Halloweentown on cesa-in-a-hoodie-3, frames from the same 2017 shoot, same hoodie, same grass. Different captions, so every caption-keyed gate stayed quiet, but a viewer sees the same picture twice and Amanda called it: it devalues the franchise, and Cesa is the one that converts. Stills from one photoshoot count as one look, and no two posts wear the same look inside a holiday window regardless of caption. Upstream fix too: describe the 3 uncatalogued Cesa videos in the clip worklist, because 3 described shoots is not a wardrobe.",rule
one-post-a-day,rule,"Instagram takes 1 post a day, in the 10:00 America/Chicago slot, and no more. Her own 90 day numbers: 15 reels in a day made 1330 views, 1 good reel made 7726. Extra posts on a day do not add reach, they split it. gm_cadence_check.py enforces it; guidance alone did not, and the queue drifted to 1.9 a day across 3 build waves."
countdown-follows-the-date,rule,"A caption that counts down to a holiday is bound to the day it is scheduled on. If a post moves, the number is wrong and the brand is wrong with it. Sep 6: 2 live posts said 48 and 45 days out while sitting 44 and 43 days out, after a queue reflow moved them. gm_cadence_check.py --target now catches it."
check-cadence-before-scheduling,rule,"Run gm_cadence_check.py against the Instagram queue BEFORE scheduling any Instagram row, not after. Sep 8: the nightly backfill put a Blitz reel on Oct 14 at 10:00 where an evergreen post already sat, creating the exact same minute collision the gate was built to stop, because the gate existed but nothing in the backfill consulted it. Caught and moved in the same pass; the evergreen went to Sep 20, which was dark."
