SlotID,Slot,LocalTime,UTC,Timezone,AccountIds,Platforms,Source,MagnetRule,PerDay,Why
1,FACT,10:00,15:00,America/Chicago,45886,instagram,holiday-fact-bank or daily-fact-bank,SEASONAL,1,"Instagram owns 10:00 Central and nothing else goes there. Moving it costs 25 percent, which is the 1 account that cannot afford it."
1b,FACT,12:00,17:00,America/Chicago,30840|41488,facebook|tiktok,the same asset as slot 1,SEASONAL or action,1,"Facebook at noon beats its own 10:00 peak, 15834 against 15528. TikTok noon is its second slot."
2,ROTATION,15:00,20:00,America/Chicago,45886,instagram,the weekday rotation slot,by weekday,1,Instagram's second slot on the ladder. 5 hours clear of the fact post.
2b,ROTATION,18:00,23:00,America/Chicago,41488,tiktok,the same asset as slot 2,action plus bio,1,"TikTok 18:00 beats its own peak, 1096 against 1089."
3,PERSONAL,18:00,23:00,America/Chicago,45886,instagram,Amanda or Cesa,CESA or CONSIDER,1,"Third Instagram slot, added to the ladder. 18:00 not 19:00 because 19:00 Central lands at 00:00Z the next day and that trap already cost 4 Cesa posts a day."
3b,PERSONAL,17:00,22:00,America/Chicago,30840,facebook,the same asset as slot 3,CESA or CONSIDER,1,Facebook's second ladder slot.
4,MIDDAY,13:00,18:00,America/Chicago,45886,instagram,holiday-fact-bank or the reservoir,SEASONAL,1,"Instagram's 4th slot, the one 3 to 5 a day needs. 13:00 Central sits 3 hours after the 10:00 peak and 2 hours before the rotation slot, so no account posts inside 2 hours of itself. Well clear of the 02:00 to 13:00 UTC dead window."
5,LATE,20:30,01:30,America/Chicago,45886,instagram,the reservoir,CESA or CONSIDER,1,"The 5th slot, used on days that need 5. 20:30 Central, not 19:00, because 19:00 Central lands at 00:00Z the next day and that trap already cost 4 Cesa posts a day. 2.5 hours clear of slot 3."
1c,FACT,10:00,15:00,America/Chicago,41488,tiktok,the same asset as slot 1,SEASONAL,1,"TikTok's morning slot. TikTok redistributes for days, so the same fact landing here and on Instagram at 10:00 is not a duplicate to either audience."
2c,ROTATION,15:00,20:00,America/Chicago,41488,tiktok,the weekday rotation slot,by weekday,1,"TikTok's 3rd slot, 3 hours after noon and 3 before 18:00. Keeps all 4 TikTok posts 2 hours or more apart."
1d,MORNING,09:00,14:00,America/Chicago,30840,facebook,the reservoir,SEASONAL,1,"Facebook's early slot. Facebook's own noon beats its 10:00, so the morning post goes at 09:00 rather than competing with the noon one."
2d,ROTATION,14:30,19:30,America/Chicago,30840,facebook,the weekday rotation slot,by weekday,1,"Facebook's 3rd slot, 2.5 hours after noon and 2.5 before the 17:00 personal slot."
1e,FACT,09:30,14:30,America/Chicago,36129,youtube,"the same asset as slot 1, as a short",SEASONAL,1,"YouTube had no row in this model at all, which is why the queue runs 0 to 1 YouTube posts a day against a target of 3 to 5. This is the first of 4."
2e,ECHO,12:20,17:20,America/Chicago,36129,youtube,the same asset as slot 1b,SEASONAL,1,The 17:20 UTC echo the refill SOP already used by hand. Written down here so it is a slot and not a habit.
3e,ROTATION,15:20,20:20,America/Chicago,36129,youtube,the weekday rotation slot,by weekday,1,"YouTube's 3rd slot, 3 hours clear either side."
4e,PERSONAL,18:20,23:20,America/Chicago,36129,youtube,Amanda or Cesa,CESA or CONSIDER,1,YouTube's 4th slot. Offset 20 minutes from the Instagram and TikTok 23:00 so no 2 platforms fire on the same minute.
