Slug,FactID,Platform,AccountId,SlotUTC,Status,MediaUrl,Text,Waiting
afraidark,HAL-011,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4,"The scary part was never the monster.

Are You Afraid of the Dark started on Nickelodeon in 1992, and the whole format was children around a fire deciding which story was worth telling. No adult ever arrived to make it safe.

It was being trusted with the story.

Comment SEASONAL and I'll send you the weekly note.",
afraidark,HAL-011,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4,"The scary part was never the monster.

Are You Afraid of the Dark started in 1992 and the format was children around a fire deciding which story was worth telling. No adult ever arrived to make it safe.

It was being trusted with the story.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #nostalgia",
afraidark,HAL-011,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4,"The scary part was never the monster.

Are You Afraid of the Dark started on Nickelodeon in 1992, and the whole format was children around a fire deciding which story was worth telling. No adult ever arrived to make it safe.

It was being trusted with the story.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
afraidark,HAL-011,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4,"The scary part was never the monster.

Are You Afraid of the Dark started on Nickelodeon in 1992, and the whole format was children around a fire deciding which story was worth telling. No adult ever arrived to make it safe.

It was being trusted with the story.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
casper,HAL-012,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4,"Casper was the first film to build its lead out of nothing at all.

1995, the first feature to carry a fully computer generated character in a leading role. Every frame of him was made rather than filmed.

A film about a ghost nobody could touch. They built him from air.

Comment SEASONAL and I'll send you the weekly note.",
casper,HAL-012,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4,"Casper was the first film to build its lead out of nothing at all.

1995, the first feature with a fully computer generated character in a leading role. Every frame of him was made rather than filmed.

A ghost nobody could touch, built from air.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #film",
casper,HAL-012,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4,"Casper was the first film to build its lead out of nothing at all.

1995, the first feature to carry a fully computer generated character in a leading role. Every frame of him was made rather than filmed.

A film about a ghost nobody could touch. They built him from air.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
casper,HAL-012,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4,"Casper was the first film to build its lead out of nothing at all.

1995, the first feature to carry a fully computer generated character in a leading role. Every frame of him was made rather than filmed.

A film about a ghost nobody could touch. They built him from air.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
cesa-blackgirl,HAL-021,instagram,45886,,NEEDS_RENDER,,"Black cats were good luck first.

British sailors kept a black ship's cat for safe passage and their wives kept one at home for the same reason. In Edo period Japan a black cat warded off evil and drew good fortune.

The bad luck version is the newer, narrower story.

She's not a cat. But the black girls have always been the good luck around here.

Comment SEASONAL and I'll send you the weekly note.",a plate and a render
cesa-blackgirl,HAL-021,tiktok,41488,,NEEDS_RENDER,,"Black cats were good luck first.

British sailors kept a black ship's cat for safe passage. In Edo period Japan a black cat warded off evil and drew good fortune.

The bad luck version is the newer, narrower story.

She's not a cat. But the black girls have always been the good luck around here.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #halloween #blackcat",a plate and a render
