TeardownID,Handle,Platform,Lane,Followers,ArtifactURL,Views,Likes,EngRate,Hook,Structure,Contract,MoneyPath,StealThis,Evidence,ClaimStatus,Confidence,Verified
CT-001,@kristentbrown,TikTok,senior-dog-grief,,,2900000,649300,0.224,Saved by a senior shelter dog who I believe was sent down to me by two angels.,"Her loss is stated before the dog is. Father died, dog Luna died, she went to the shelter in heartache. The senior dog arrives as evidence, not as subject. Health problems named honestly. Recovery shown. Adopt-a-senior close.",I am publicly surviving a specific loss and you are watching whether it works.,None visible. Reach and identification only.,"Name your own loss before you name the dog. A 22 percent like rate is not people liking a dog, it is people agreeing with a claim about their own future.",https://www.newsweek.com/woman-asks-see-oldest-dog-shelter-her-life-hasnt-been-same-since-adopt-2039230,thirdparty,reported,yes
CT-002,@jackiepajan,TikTok,senior-dog-rescue,,,300000,40000,0.133,"You know how I feel about the seniors, guys.","Stance card on screen reading A shelter is no place for a senior. Then three wordless scenes: bath, shopping for a collar, exploring the new house. No narration.",I hold a known position on senior dogs and I repeat it until you hold it for me.,None visible.,Write the caption as if the viewer already knows your position. That sentence is unavailable on video one. It is earned by repeating a stance until the audience carries it.,https://www.newsweek.com/woman-adopting-senior-dog-praised-1836942,thirdparty,reported,yes
CT-003,@thatgoodnewsgirl,TikTok,positive-news-daily,,https://www.tiktok.com/@thatgoodnewsgirl/video/7564177995737435422,,,,"There are currently over 50 dogs living together at a property in Missouri, and they're not just waiting around to be adopted. They've already found their final home.","Number and place at 0:00. Reversal by 0:08. Credit to one woman at 0:10. Origin loss at 0:13, her father dies and his Doberman is turned away for age. The gap at 0:31. One named individual at 0:49, a dog called Mcchicken found in a McDonald's parking lot. The promise at 0:58, he would never be invisible again. Proof and numbers. Signature sign-off at 1:27.","I'm Jen, and I post something positive every day.",Daily appointment. The sign-off is the follow.,"End on a delivery promise with a frequency, not on a request. The follow is the mechanism. The promise is the product. Also: one named animal beats the total. Mcchicken is why the count lands.",https://www.tiktok.com/@thatgoodnewsgirl/video/7564177995737435422,none,transcript,yes
CT-004,@whisperingwillowsdogs,TikTok,senior-dog-sanctuary,110000,https://www.tiktok.com/@whisperingwillowsdogs,,,,,"Not torn down directly. Subject of CT-003. Founded 2017 by Valerie Reid in Hermitage, Missouri after her father died and no rescue would take his aging Doberman.",Every dog here dies loved and named.,501c3 donations and dog sponsorship.,"The founding wound is stated every time. The origin is not backstory, it is the recurring proof of the promise.",https://www.tiktok.com/@whisperingwillowsdogs,official,reported,yes
CT-005,@thedodo,YouTube,format-leader,,https://www.youtube.com/watch?v=UAxcMMd3rF4,,,,"He had no food, no clean water, no care, and he was simply left to die.","Physical facts delivered flat in the first 9 seconds. The owners quoted verbatim refusing him. One concrete object at 0:23, the chain that was in his skin. Then the pivot: the dog does not change, the woman's life does. She moves countries. The dog becomes the reason she wakes up.","An animal will change a person, and we will show you the person changing.",Brand. Licensing and sponsorship.,"The concrete object carries the emotion and no adjective helps it. This was in his skin. Then turn the story onto the human, because the audience cannot become the dog but can become her.",https://www.youtube.com/watch?v=UAxcMMd3rF4,none,transcript,yes
CT-006,youtube:M5qTpegVwnQ,YouTube,synthetic-competitor,,https://www.youtube.com/watch?v=M5qTpegVwnQ,,,,"He had been at that shelter so long, people stopped seeing a future in him.","Open loop at 0:56, and that should have been the miracle. Second loop stacked at 1:16, one terrifying question ruined everything. Third loop at 1:36, a promise big enough to change all three of their lives, but first the dog had to trust him too. Runs 23 minutes on three stacked loops.",None. This is a content farm.,Ad revenue on watch time.,"The stacked open loop, and only that. The humans in this video are invented and the narration is synthetic. Recorded here because it proves the lane is being flooded with fabricated senior dog stories, which is what makes a real aging dog on camera the defensible position.",https://www.youtube.com/watch?v=M5qTpegVwnQ,none,transcript,yes
CT-007,Wildlife Wonders USA,Meta Ad Library,paid-senior-dog-facts,,https://www.facebook.com/ads/library/?id=2001141980373727,,,,Your Senior Dog: 13 Final Behaviors,"Six active ad variants on two headlines: Your Senior Dog 13 Final Behaviors, and Senior Dog's Nightly Secrets. Page id 294490487076839.",There is something about your own dog you have not noticed yet.,Paid distribution. Somebody is spending money to put senior dog fact listicles in front of this audience.,This is the only conversion proof in the set. A numbered list of behaviours in an aging dog is worth paying to distribute. Amanda already has the fact bank format that produces this.,https://www.facebook.com/ads/library/?id=2001141980373727,none,adlibrary,yes
CT-008,Pets Are Kids,Meta Ad Library,paid-senior-dog-product,,https://www.facebook.com/ads/library/?id=1331506155503416,,,,Joint Stiffness Doesn't Start With A Limp,"Negation hook. Names the symptom the owner is watching for, then says that is the late sign. Page id 211737455950296.",You are already missing something.,Supplement sales.,The negation hook is the same shape as Nobody was burned at Salem. It is proven to convert on paid traffic in this exact audience.,https://www.facebook.com/ads/library/?id=1331506155503416,none,adlibrary,yes
CT-009,unconfirmed,Instagram,nostalgia-90s,400000,,,,,,Named as Kate Steinberg in a published roundup. Reels unlocking 90s and 2000s memories. Handle not confirmed and no artifact pulled.,,,,https://screenrant.com/hilarious-2000s-instagram-nostalgia-accounts-retro/,thirdparty,listed,no
CT-010,unconfirmed,Instagram,nostalgia-90s,500000,,,,,,Named as Alina Bock in a published roundup. Reels on growing up in the 90s and 2000s. Handle not confirmed and no artifact pulled.,,,,https://screenrant.com/hilarious-2000s-instagram-nostalgia-accounts-retro/,thirdparty,listed,no
