DailyID,Lane,Slot,SlotTime,Hook,Body,Backbone,Metaphor,Source,Keyword,Delivery,Verified,LastUsed
REAL-001,REAL,morning,10:00,The Hollywood sign was an ad.,"It read HOLLYWOODLAND when it went up in 1923, advertising a housing development. The last 4 letters came down in 1949.",The most famous symbol of making it was a billboard for real estate.,Ask what else you are looking up at that was only ever trying to sell you a lot.,Hollywood Sign Trust; Los Angeles Times archives,,text,yes,
REAL-002,REAL,morning,10:00,Vikings never wore horned helmets.,No horned helmet has ever been found in a Viking grave. The look was invented by Carl Emil Doepler for the 1876 premiere of Wagner's Ring cycle.,A costume designer beat 300 years of archaeology and is still winning.,The version with a picture attached is the one that survives.,National Museum of Denmark; Encyclopaedia Britannica,,text,yes,
REAL-003,REAL,morning,10:00,Napoleon was not short.,"He was recorded at 5 foot 2 in French inches, which are longer than English ones. In English measure that is about 5 foot 7, average for a Frenchman of his time.",British wartime cartoonists made him small and the measurement error made it stick.,An insult that fits neatly will outlive the person who earned it.,Royal Museums Greenwich; Encyclopaedia Britannica,,text,yes,
REAL-004,REAL,morning,10:00,Marie Antoinette never said it.,"Let them eat cake appears in Rousseau's Confessions, describing an unnamed princess, and was written when she was about 10 years old and still living in Austria.",The sentence that defined her was assigned to her by somebody else.,You can be remembered entirely for a thing you never did.,"Rousseau, Confessions Book VI; Encyclopaedia Britannica",,text,yes,
REAL-005,REAL,morning,10:00,You cannot see the Great Wall from space.,"Not with the naked eye. NASA has said so repeatedly, and the astronauts who looked have said so too. It is long, but it is only about 20 feet wide and the same colour as the ground.","The biggest thing we ever built, and the most repeated fact about it is wrong.",Scale is not the same as visibility. Plenty of enormous things go unseen.,NASA Earth Observatory,,text,yes,
REAL-006,REAL,morning,10:00,Van Gogh did not sell 1 painting.,"He sold several and traded more, and his brother Theo was an art dealer who moved his work. The 1 painting line is a simplification that stuck.",The poverty is load bearing for people who need genius to cost everything.,We prefer the version where the price of the work was a whole life.,"Van Gogh Museum, Amsterdam",,text,yes,
REAL-007,REAL,morning,10:00,Nobody jumped in 1929.,"Suicide rates in New York during the crash were not notably elevated, and the few deaths reported were not the wave everybody pictures. The image traces largely to a joke by Will Rogers.","The crash was catastrophic without a single body on the pavement, and we added one anyway.",We remember the version of a disaster that has somebody falling in it.,Bureau of Labor Statistics historical data; Snopes archival review,,text,yes,
BUILD-001,BUILD,evening,18:00,Clippy was not wrong. He was guessing.,"He turned up in Office 97 to help, with no way to see what you were actually doing. Everybody hated him for being confidently useless.","My captions kept landing on the wrong clips. I kept writing better instructions. The instructions were never the problem: the clip list had no column saying what was visible in the clip, so nothing could check the pairing.",You cannot be careful about something you cannot see.,"Run 6, filing-system commit history",TUESDAY,text,yes,
BUILD-002,BUILD,evening,18:00,"Oregon Trail killed you with dysentery, not with speed.","The designers made supplies matter more than pace, because the thing that gets you is never the part you are watching.","I built a video pipeline whose entire premise is that every frame is reproducible, then had it fetch its fonts off the internet on every single render. One bad second and the type came out in the wrong face.",The thing that breaks you is rarely the part you were watching.,"Run 8, reel-factory commit history",TUESDAY,text,yes,
BUILD-003,BUILD,evening,18:00,Beanie Babies came with a tag telling you the value.,Everybody believed the tag. Nobody checked whether anything behind it was true.,"I put my dog's age in 2 finished videos. Nobody had told me how old she was. It turned out to be right, which is the dangerous version, because a guess that lands is the one you never go back and check.",A guess that happens to be right is still a guess. You just do not find out.,"Run 8, subject-facts.csv",TUESDAY,text,yes,
BUILD-004,BUILD,evening,18:00,Everybody said they saw the sailboat in the Magic Eye.,Agreeing with the label was easier than admitting you were looking at static.,"I wrote out the reason a photo matched a caption. I had never opened the photo. The description said both of them were looking at the camera. The dog was in profile, looking away.",Agreeing with the label is not the same as looking.,"Run 8, clip-library corrections",TUESDAY,text,yes,
BUILD-005,BUILD,evening,18:00,Every infomercial ended with operators are standing by.,It only worked because somebody read out the number.,"I had 24 live comment to DM automations, 6 armed keywords, and 30,671 views. Not 1 of my videos said any of the keywords out loud.",A machine nobody points at is just furniture.,"Run 8, Blotato automation audit",TUESDAY,text,yes,
BUILD-006,BUILD,evening,18:00,Chekhov said the gun on the wall has to go off.,"Otherwise take it down, because an unfired gun is just set dressing that made a promise.","I found a 5 outcome diagnostic quiz, fully built, sitting in my email tool with no keyword, no link and no traffic. Quizzes convert around 40 percent. The guides I was actually promoting convert around 5.",The best thing you own is often the one you forgot you finished.,Interact quiz benchmark study; MailerLite account audit,TUESDAY,text,yes,
BUILD-007,BUILD,evening,18:00,"Blockbuster had 9,000 stores and a late fee.","The late fee was the most profitable thing they had, which is exactly why nobody in the building wanted to look at it.","My call to action was send this to whoever. It was a request. Every account I tore down that actually converts states a promise instead, with a frequency behind it, and never asks for anything.",Asking is what you do when you have not decided what you are delivering.,"Run 8, competitor-teardowns.csv",TUESDAY,text,yes,
