BlotatoId,OriginalSlotUTC,Platform,AccountId,Handle,Lane,MediaUrls,Text,TargetJSON,Status
4019152,2026-09-19 15:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/208a364b-1b12-4b9d-90ef-2a5c7ea8182a.jpeg,"6 automations I was counting on had quietly stopped running. Every one of them still said enabled.

I only found out because I went and opened the actual output instead of trusting the dashboard. 12 days of my own logging had broken too, and I never noticed that either.

A broken readout looks broken. A broken retelling looks like good news. That difference cost me 12 days.

That's what Tuesdays are for now. 1 thing I learned the hard way building a real business with AI, after my shift, on 1 income, with the mistakes left in. No theory. Just the receipts.

Comment TUESDAY and I'll add you.","{""targetType"":""instagram""}",reloaded
4059657,2026-09-19 17:00,tiktok,41488,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/3f87bdbb-4816-46cc-b7b7-536698238dc1.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Halloween is 45 days out.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #history #etymology","{""targetType"":""tiktok"",""isYourBrand"":false,""disabledDuet"":false,""privacyLevel"":""PUBLIC_TO_EVERYONE"",""isAiGenerated"":true,""disabledStitch"":false,""disabledComments"":false,""isBrandedContent"":false}",reloaded
3732570,2026-09-19 17:10,facebook,30840,,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/506bafa2-ba92-4b71-ae06-cc73657a23cd.mp4,"I sat down to record thinking I was a few days into this, then checked and realized I was much further along than I thought.

Spent the whole week feeling behind on something I was already doing. Has anyone else done that, or is it just me.","{""pageId"":""1086399221215093"",""mediaType"":""reel"",""targetType"":""facebook""}",in-reservoir
4059765,2026-09-19 20:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/4d1ba53c-33b9-4bfd-8372-48a6fb039501.mp4,"Becoming her does not look aesthetic and I need everyone to know that.

It is laundry on the bed. It is the same 3 meals. It is doing the boring version of the thing on the day you do not feel like the person who does it.

Nobody films the part that actually works.

Comment RESET and I'll send you the checklist.","{""mediaType"":""reel"",""targetType"":""instagram""}",in-reservoir
4056482,2026-09-20 15:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/432a7329-c61f-4000-ba67-cfce4b4509e7.png,"Free. 1 page. Don't do all of it, pick 1 line and do that one. For the weeks when the plan got too heavy to start.","{""targetType"":""instagram""}",reloaded
3732576,2026-09-20 17:10,facebook,30840,,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/74c42491-bbdb-4cec-8784-ac80eab9476a.mp4,"Slow, steady, and figuring it out as I go.

I am not 10 years ahead of anyone in this. I am about 10 hours ahead. Turns out that is close enough to be useful, and honest enough to be worth following.","{""pageId"":""1086399221215093"",""mediaType"":""reel"",""targetType"":""facebook""}",in-reservoir
3939602,2026-09-21 17:10,facebook,30840,,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1d84a8ec-11bb-4504-b846-f41e09235acb.jpeg,"5 books that are free forever. Not free for 30 days.

Meditations. As a Man Thinketh. The Richest Man in Babylon. Think and Grow Rich.

Public domain. No account, no waitlist, no card.

Comment PLAY and I'll send you the full list.","{""pageId"":""1086399221215093"",""targetType"":""facebook"",""firstComment"":""Prefer the link? https://press-play.subscribepage.io""}",reloaded
3939604,2026-09-21 17:20,youtube,36129,,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1e2ff858-1083-4468-a192-a9000b55c39e.png,"Green tea, aloe, and a lather that never picks a fight with sensitive skin. Raw Sugar's gentle body wash, found at Target. I'm a Target partner, so I may earn rewards or commission when you shop my link, at no extra cost to you.

https://club.target.com/s/amanda.20/_/sku/94837564
#gentlemuse #shorts","{""title"":""Green tea, aloe, and a lather that never picks a fight with sensitive skin"",""targetType"":""youtube"",""privacyStatus"":""public"",""shouldNotifySubscribers"":false}",in-reservoir
3939598,2026-09-21 23:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/007d6b00-d0a8-4280-ba0e-3ac99f5554f0.jpeg,"Bookmarking is not listening.

You saved 40 recommendations this year. You finished how many? Saving is not the same as finishing.

Pick the short one. Under an hour, free right now. Finish 1 thing today. That is the whole assignment.

Comment PLAY and I'll send you the list.","{""targetType"":""instagram""}",reloaded
3939611,2026-09-21 23:00,tiktok,41488,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/18bee17d-ff27-4cd6-a6bb-bfb40bfb16fd.jpeg,"I read 9 books last year without sitting down once.

Not a reading habit. A listening habit. None of it was extra time. The list is built for half attention.

5 free forever, 5 library borrows. Not 50 books. 10.

Full list is in my bio.

#LearnOnTikTok #audiobooks #booktok","{""targetType"":""tiktok"",""isYourBrand"":false,""disabledDuet"":false,""privacyLevel"":""PUBLIC_TO_EVERYONE"",""isAiGenerated"":false,""disabledStitch"":false,""disabledComments"":false,""isBrandedContent"":false}",reloaded
4024193,2026-09-22 13:30,linkedin,20723,,magnet,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/72d18e2e-9bf2-4cbc-82c3-215face1d902.jpeg,"Today's issue went out this morning, and it's about the 1 question that saves you a month.

When AI won't do the thing, most people ask how to prompt it better. That's the wrong question. The right one is: is the model failing, or is the thing I'm pointing it at refusing to be driven?

Those need completely different fixes. I lost most of a month to not asking it. I searched all 383 interfaces on a platform to prove where the wall actually was, and the wall was a text box that won't accept typed input. The model was never the problem.

You do not need to be 10 years ahead on AI. About 10 hours is enough.

Follow along here for the short version. The letter itself lands Tuesday mornings.

https://just-another-tuesday-gm.subscribepage.io","{""targetType"":""linkedin""}",reloaded
4056284,2026-09-22 15:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/78f47745-103d-4c38-8515-af55b0b924cf.jpeg,"You do not need to be 10 years ahead on AI. About 10 hours is enough. A free 59 page guide in plain language, written by someone who was 60 days in, not 10 years.","{""targetType"":""instagram""}",reloaded
3939608,2026-09-22 17:10,facebook,30840,,home,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1fbfb282-6516-4486-b8d4-d87d41129a79.png,"Your sponge isn't sanitized after microwaving. Your towels aren't old, they're coated. 1 free email a week about the things in your home you've stopped noticing.

https://consider-this.subscribepage.io","{""pageId"":""1086399221215093"",""targetType"":""facebook""}",reloaded
3939606,2026-09-22 23:00,instagram,45886,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/017df435-be70-4c89-9cd3-d8b9998ff865.jpeg,"5 books that are free forever. Not free for 30 days.

Meditations. As a Man Thinketh. The Richest Man in Babylon. Think and Grow Rich.

Public domain. No account, no waitlist, no card.

Comment PLAY and I'll send you the list.","{""targetType"":""instagram""}",reloaded
3939616,2026-09-22 23:00,tiktok,41488,thegentlemuse2026,halloween,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1f2b99da-bd73-45e7-83b1-71a874c5da72.jpeg,"I used to say I had no time to read. Then I counted the drive.

The drive, the dishes, the laundry, groceries. Almost 2 hours a day with my hands busy and my ears free.

I didn't add anything to my day. I stopped filling that time with scrolling.

Full list is in my bio.

#LearnOnTikTok #audiobooks #timemanagement","{""targetType"":""tiktok"",""isYourBrand"":false,""disabledDuet"":false,""privacyLevel"":""PUBLIC_TO_EVERYONE"",""isAiGenerated"":false,""disabledStitch"":false,""disabledComments"":false,""isBrandedContent"":false}",reloaded
4056328,2026-09-23 13:30,linkedin,20723,,home,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/aeef98fe-07e3-4701-a9a8-788111346cfe.jpeg,"Your towels aren't old. They're coated.

Fabric softener leaves a film behind, and that film is exactly what makes them feel soft. It also repels water, which is the opposite of a towel's job.

It builds up slowly over months, so it feels like the towel just wore out. It didn't. Wash them hot with vinegar and no softener, and they come back.

Save this for the next laundry day. Send it to whoever buys the softener.

The weekly note is here:

https://consider-this.subscribepage.io","{""targetType"":""linkedin""}",in-reservoir
