Block,Minutes,Shot,ForFactID,Type,Note
A,10,"You to camera, seated, low lamp, plain wall",HAL-006,talking head,"Mindset Monday. Say the last 3 words flat and stop. Do not soften it."
A,10,"You to camera, same setup, slightly warmer",HAL-007,talking head,"Build in public register. It can be the version of you working it out out loud."
A,10,"You to camera, warmest light of the 5",HAL-004,talking head,"Mary Shelley. Land the last line and hold before you cut."
A,10,"You to camera, plain, no wink",HAL-020,talking head,"Poisoned candy. People will argue. Leave the source on screen."
A,10,"You to camera, coldest of the 5",HAL-003,talking head,"Salem. No music under the last line if you can help it."
B,6,Old book pages turning under a candle,HAL-006,b-roll,Hands only. 3 takes at different speeds.
B,6,"A radio, a dial being turned, newspaper pages",HAL-007,b-roll,Anything that reads as 1938. A dial turning is the money shot.
B,6,"Rain on a window, a notebook, a candle, you writing",HAL-004,b-roll,"The year without a summer. Grey and indoors is the point, do not fight it."
B,6,"A bowl of wrapped candy, a porch light, a door opening",HAL-020,b-roll,Shoot the porch light at dusk if you can.
B,6,"Stones, a rope, a plain wooden chair, low window light",HAL-003,b-roll,Salem. Nothing decorative. Keep it bare.
C,5,A knife going into a pumpkin by candlelight,HAL-002,b-roll,"Optional. The typography render covers this one, so only if you have the time."
C,5,"A bell, a rope, dark earth",HAL-005,b-roll,"Optional. Same, the render covers it."
C,5,"A single stone, dry ground, low sun",HAL-018,b-roll,"Optional. Same."
