StationID,Order,Company,Station,Layer,Phase,Kind,Needs,DoneWhen,ProofIs,Keywords,EstDays,Status,Why
S01,1,both,Split the money into 4 books,protect,1,work,,"4 accounts open, 1 per entity, and 1 full calendar month closed with every transfer between them labelled","1 statement per entity covering the same month, filed under GM, KV, FS and personal",bank|account|books|bookkeeping|commingle|commingled|separate the money|quickbooks|statement|transfer|entity|llc|ein|chart of accounts|payroll|tax,7,open,"3 LLCs already run through 1 Downloads folder, which is why Run 5 routes documents by entity at all. Every station below reads a number off these books. Right now the question is Gentle Muse making money has no answer, because there is no set of books that could produce one."
S02,2,gentle-muse,Write the Friday number down,protect,1,work,S01,"weekly-review.csv carries 2 consecutive Friday rows, each with followers gained and emails gained",filing-system/data/weekly-review.csv,metric|metrics|review|weekly|dashboard|analytics|report|reporting|kpi|track|tracking|measure|numbers|follower count|check the numbers,8,locked,"posting-cadence.csv already schedules a Friday 16:00 review that reads 1 number, followers gained this week. There is no file it writes to, so no week can ever be compared to the week before it. Phase 2 asks which topics work. That question cannot be asked until weeks are comparable."
S03,3,kersh,Start the Kersh operating record,protect,2,clock,S01,"3 consecutive monthly rows, each carrying gross, restock cost, service hours, shrink and machine downtime","filing-system/data/kersh-operating-record.csv, 3 rows, 3 different months",kersh|vending|machine|restock|route|shrink|downtime|operating record|unattended|coin|card reader,90,locked,"Kersh exists to prove Amanda can run an unattended physical business. A laundromat is the same problem with a bigger repair bill. This is a clock station: a few hours a month and the rest is the calendar, so it runs underneath the Gentle Muse work rather than blocking it. It is also the only Fresh Spin evidence that can be accumulating while Gentle Muse is the one thing."
S04,4,gentle-muse,Make the capture machine fire,sell,1,work,S02,"20 distinct contacts across the live keywords inside 1 window of 14 days, read off the automation logs","filing-system/data/keyword-audit.csv, refreshed, with 20 distinct contact IDs",keyword|automation|manychat|blotato|dm|comment to dm|capture|magnet|lead magnet|subscriber|email list|signup|opt in|conversion,14,locked,"30,671 views produced 13 email subscribers. The keyword audit says why: 13 automations live, 1 contact ID across nearly all of them, and 8 of the 13 have never fired once. That is not a writing problem and better captions will not touch it. The machine was built, went live, and was never pointed at."
S05,5,gentle-muse,Name 1 offer and sell it once,sell,1,work,S04,"1 sale at the listed price, to somebody Amanda has not met, landed in the Gentle Muse account","1 line on the Gentle Muse statement from S01, and the offer page URL returning 200",offer|product|price|pricing|sell|sale|payhip|checkout|paid|buy|revenue|monetize|monetise|digital product|course|template,14,locked,"magnet-map.csv carries 8 magnets and not one of them is a product. Everything live is free. Until 1 stranger pays once, there is no money path to optimise and every conversation about scale is a conversation about a hypothesis."
S06,6,gentle-muse,Give the history lane its own magnet,distribute,2,work,S05,magnet-map.csv carries a history lane row whose URL returns 200 and whose keyword shows a firing in the audit,"filing-system/data/magnet-map.csv, the new row, plus the automation ID",history|history lane|fact bank|seasonal|holiday magnet|new magnet|pdf|guide|freebie|opt in gift,10,locked,"Run 8 recorded the gap rather than papering over it: 6 history reels named no keyword because none of the 8 live ones is what somebody who just watched a Salem fact wants next. The material is already sitting there. holiday-fact-bank.csv is 50 sourced facts with the turn on each one. That is the product, and the contract already promises it."
S07,7,gentle-muse,Reach 500 followers on the main account,distribute,2,work,S06,"500 followers on account 45886, read off Metricool on any 1 day","1 Metricool screenshot dated, filed with the weekly-review row that carries it",followers|reach|growth|500|club target|engagement hour|comments|grow|audience|viral|views,30,locked,"500 unlocks Club Target, which is a real door with a real number on it. The variable that moves it is already measured: 131 followers the week Amanda spent an hour a day commenting on other people's posts, 4 the week she did not. The ladder does not need a new theory here, it needs the hour."
S08,8,gentle-muse,Find the 1 topic that makes subscribers,improve,2,work,S07,"1 topic whose last 3 posts each produced more email subscribers than the 90 day median, named with the 3 post IDs",filing-system/data/weekly-review.csv plus the 3 post IDs written into the pillar row,topic|pillar|content pillar|which topics|what works|test|testing|experiment|double down|analyse|analyze|what to post|ideas,21,locked,"This is the first station that is allowed to ask what is working, because S02 gave it comparable weeks and S04 gave it a capture machine that actually fires. Asked before either of those, the honest answer to which topic converts is that nothing converts, which tells you nothing about topics."
S09,9,gentle-muse,Sell the same offer 10 times down 1 path,sell,2,work,S08,"10 sales of the same offer, all 10 traced to the same magnet and the same lane","10 lines on the Gentle Muse statement, each matched to a magnet in magnet-map.csv",repeat sales|10 sales|funnel|path|conversion rate|attribution|scale the offer|second sale|sales page,30,locked,"1 sale proves the path exists. 10 down the same path proves it is a path and not an accident. This is the station that earns the right to automate, because it is the first evidence that the same thing works twice for the same reason."
S10,10,gentle-muse,Codify the week that won,improve,3,work,S09,"1 written week: 7 days, every slot named, every slot pointing at the pillar that produced the 10 sales",filing-system/data/posting-cadence.csv and rotation-magnet.csv both updated to the proven week,codify|document|sop|write it down|repeatable|playbook|template|standardise|standardize|rotation|cadence,10,locked,"The rotation in the repo today was written from reasoning. This rewrites it from the 10 sales. Same file, different authority."
S11,11,gentle-muse,Automate the week that won,automate,3,work,S10,the written week runs 14 days with Amanda touching only the approval step,"14 days of queue exports matching the written week, and the approval log",automate|automation|schedule|scheduling|blotato|repurpose|distribution|batch|queue|ai stack|claude|codex|hands off,14,locked,"This is the station Amanda's instinct wants to start at, and it is 11th on purpose. Automating an unproven week just produces the wrong thing faster and with less attention on it. Everything above this line exists to make sure the thing being multiplied is worth multiplying."
S12,12,fresh-spin,Learn the 6 numbers a laundromat runs on,improve,2,work,S03,"6 numbers written down, each with a source Amanda read herself, not a summary of a source","filing-system/data/laundromat-numbers.csv, 6 rows, 6 sources",laundromat|laundry|learn|education|curriculum|study|research|water|sewer|utilities|vend price|turns|revenue per square foot|equipment life,14,locked,The target is not I know about laundromats. It is hand me a listing and I know exactly what to ask. Those are different skills and only the second one is checkable. A number with no source next to it is somebody else's opinion wearing a decimal point.
S13,13,fresh-spin,Underwrite 10 real listings on 1 template,improve,3,work,S12,"10 rows, each with asking price, gross, verified expenses, owner cash flow, and the 1 question that would kill the deal","filing-system/data/acquisition-underwriting.csv, 10 rows",underwrite|underwriting|deal|listing|analysis|evaluate|due diligence|acquisition|broker|bizbuysell|offer price|valuation|multiple,21,locked,"10 is the number because the template is the deliverable, not the deals. The 10th listing should take an hour and produce the same 5 questions the 1st one took a week to find. Nothing here is an offer. This is practice with real numbers."
S14,14,fresh-spin,Write the reserve floor and fund it,protect,4,clock,S13,"the reserve floor written as a number with the arithmetic behind it, and the balance clears it for 2 consecutive months","the number in the file, and 2 monthly statements from the Fresh Spin book in S01",reserve|reserves|liquidity|cash|savings|runway|emergency fund|working capital|floor|minimum cash,60,locked,"Gate 6 of the acquisition gates cannot be answered by a deal. It is answered by a balance that existed before the deal showed up. Funding it is a clock, so it starts the day the arithmetic is written rather than the day a listing appears."
S15,15,fresh-spin,Build the lender file,sell,4,work,S14,"3 years or since inception for each entity, a personal financial statement, the underwriting template, and the reserve arithmetic, in 1 folder","1 folder, 4 documents, dated",lender|lending|bank loan|sba|financing|finance|loan|credit|package|application|personal financial statement|tax returns,14,locked,"Every document in this file is produced by a station above it. That is the whole argument for the order. Assembled in month 7 from nothing, this file takes a quarter and looks assembled. Assembled from S01, S03 and S13, it takes a fortnight and looks like a record."
S16,16,fresh-spin,Get 1 lender to say yes or no in writing,sell,4,work,S15,"1 lender answer in writing, yes with terms or no with a reason","the written answer, filed",prequalify|preapproval|lender answer|terms|rate|debt service|loan offer|declined|approval,30,locked,"A no with a reason is worth as much as a yes here, and it arrives sooner. Both close the station, because both convert the financing question from a plan into a fact."
S17,17,gentle-muse,Pick the 1 scale lever the data earned,expand,4,work,S11,"1 lever chosen and written down with the number that earned it, and the levers not chosen listed with why not","filing-system/data/weekly-review.csv, the row the choice was made from",scale|scaling|paid traffic|ads|seo|brand deals|partnership|collaboration|affiliate|higher ticket|new platform|youtube|expand,14,locked,"By here the sentence should read this audience responds to these themes, enters through this magnet, and buys this offer. Every lever on the list is reasonable. Exactly 1 of them is next, and the data picks it rather than the mood."
S18,18,fresh-spin,Run 1 real deal through the 8 gates,expand,5,work,S16,"8 of 8 gates pass on 1 real deal, or the deal is walked away from in writing","1 filled copy of acquisition-gates.csv per deal, verdict and evidence on every row",buy|purchase|acquire|acquisition|close|closing|escrow|loi|letter of intent|the deal|gates|walk away,30,locked,"By month 7 the goal is not I bought one. It is I am capable of buying the right one. A bad acquisition made on schedule is still a bad acquisition, and the 8 gates are what stop the schedule from making the decision."
