CarouselID,Title,Frame,FrameText,Source
RESET-01,13 tabs and a notebook,1,I had 13 browser tabs open and no idea where to start.,verified: already-used RESET post
RESET-01,13 tabs and a notebook,2,A notebook full of half-finished plans.,verified: already-used RESET post
RESET-01,13 tabs and a notebook,3,Files on my phone with names I could no longer decode.,verified: already-used RESET post
RESET-01,13 tabs and a notebook,4,I was not lazy or dramatically disorganized. I was carrying too much at once.,verified: already-used RESET post
RESET-01,13 tabs and a notebook,5,Here is the only instruction. Do not do all of it. Pick 1 line and do that one.,verified: already-used RESET post
RESET-01,13 tabs and a notebook,6,Comment RESET and I will send it to you.,CTA
RESET-02,A week off does not fix it,1,A week off does not fix a system that drains you.,verified: already-used RESET post
RESET-02,A week off does not fix it,2,A reset changes how the ordinary days feel. Not just the vacation week.,derived from the verified line
RESET-02,A week off does not fix it,3,10 gentle steps. Free.,verified: magnet-map.csv delivery description
RESET-02,A week off does not fix it,4,None of them are a whole new life. All of them are 1 small piece.,derived from the established premise
RESET-02,A week off does not fix it,5,You are not behind. You are carrying too much at once.,derived from the established premise
RESET-02,A week off does not fix it,6,Comment RESET and I will send it to you.,CTA
