AutomationID,Keyword,Platform,AccountId,Handle,Active,Kind,Delivers,Destination,Note
439,BROW,instagram,45886,thegentlemuse2026,yes,product,NYX Thick It Stick It Brow Gel Brunette,https://club.target.com/s/amanda.20/_/sku/83347380,
423,BROW,facebook,30840,The Gentle Muse,yes,product,NYX Thick It Stick It Brow Gel,https://club.target.com/s/amanda.20/_/sku/83347380,
440,LIPDRIP,instagram,45886,thegentlemuse2026,yes,product,NYX Fat Oil Lip Drip in Missed Call,https://club.target.com/s/amanda.20/_/sku/87824456,
6021,LIPDRIP,facebook,30840,The Gentle Muse,yes,product,NYX Fat Oil Lip Drip in Missed Call,https://club.target.com/s/amanda.20/_/sku/87824456,
443,BUTTER,instagram,45886,thegentlemuse2026,yes,product,Tree Hut Moroccan Rose Whipped Body Butter 8.4 oz,https://club.target.com/s/amanda.20/_/sku/83245016,
6020,BUTTER,facebook,30840,The Gentle Muse,yes,product,Tree Hut Moroccan Rose Whipped Body Butter 8.4 oz,https://club.target.com/s/amanda.20/_/sku/83245016,
444,SCRUB,instagram,45886,thegentlemuse2026,yes,product,Tree Hut Moroccan Rose Shea Sugar Scrub 18 oz,https://club.target.com/s/amanda.20/_/sku/51693591,
428,SCRUB,facebook,30840,The Gentle Muse,yes,product,Tree Hut Moroccan Rose Shea Sugar Scrub 18 oz,https://club.target.com/s/amanda.20/_/sku/51693591,
434,HIBISCUS,instagram,45886,thegentlemuse2026,yes,product,Tree Hut Pink Hibiscus Scrub,https://club.target.com/s/amanda.20/_/sku/89094549,mist discontinued at Target the DM redirects to the scrub
420,HIBISCUS,facebook,30840,The Gentle Muse,yes,product,Tree Hut Pink Hibiscus Scrub,https://club.target.com/s/amanda.20/_/sku/89094549,mist discontinued at Target the DM redirects to the scrub
436,SOAK,instagram,45886,thegentlemuse2026,yes,product,Dr Teal's Calm and Serenity Rose Epsom Soak 3 lb,https://club.target.com/s/amanda.20/_/sku/76858934,
419,SOAK,facebook,30840,The Gentle Muse,yes,product,Dr Teal's Calm and Serenity Rose Epsom Soak 3 lb,https://club.target.com/s/amanda.20/_/sku/76858934,
441,SOOTHE,instagram,45886,thegentlemuse2026,yes,product,Raw Sugar Green Tea and Aloe Soother Body Wash 20 oz,https://club.target.com/s/amanda.20/_/sku/94837564,
424,SOOTHE,facebook,30840,The Gentle Muse,yes,product,Raw Sugar Green Tea and Aloe Soother Body Wash 20 oz,https://club.target.com/s/amanda.20/_/sku/94837564,
442,NATIVE,instagram,45886,thegentlemuse2026,yes,product,Native Sensitive Deodorant Cotton and Lily,https://club.target.com/s/amanda.20/_/sku/76612085,
426,NATIVE,facebook,30840,The Gentle Muse,yes,product,Native Sensitive Deodorant Cotton and Lily,https://club.target.com/s/amanda.20/_/sku/76612085,
438,NECKLACE,instagram,45886,thegentlemuse2026,yes,product,Adornia 14k Gold Plated Black Clover Station Necklace,https://club.target.com/s/amanda.20/_/sku/1005653750,
418,NECKLACE,facebook,30840,The Gentle Muse,yes,product,Adornia 14k Gold Plated Black Clover Station Necklace,https://club.target.com/s/amanda.20/_/sku/1005653750,
437,BRACELET,instagram,45886,thegentlemuse2026,yes,product,Adornia 14k Gold Plated Mother-of-Pearl Clover Bracelet,https://club.target.com/s/amanda.20/_/sku/1004621500,
417,BRACELET,facebook,30840,The Gentle Muse,yes,product,Adornia 14k Gold Plated Mother-of-Pearl Clover Bracelet,https://club.target.com/s/amanda.20/_/sku/1004621500,
454,GEL,instagram,45886,thegentlemuse2026,yes,product,medicube TXA and Niacinamide Capsule Cream 55 g,https://club.target.com/s/amanda.20/_/sku/1010763977,
6025,GEL,facebook,30840,The Gentle Muse,yes,product,medicube TXA and Niacinamide Capsule Cream 55 g,https://club.target.com/s/amanda.20/_/sku/1010763977,
2276,CURLTALK,instagram,45886,thegentlemuse2026,yes,product,Not Your Mother's Curl Talk Defining Curl Cream 6 oz,https://club.target.com/s/amanda.20/_/sku/76550582,
6023,CURLTALK,facebook,30840,The Gentle Muse,yes,product,Not Your Mother's Curl Talk Defining Curl Cream 6 oz,https://club.target.com/s/amanda.20/_/sku/76550582,
2278,BLOOM,instagram,45886,thegentlemuse2026,yes,product,Bloom Sparkling Energy Cherry Lime,https://club.target.com/s/amanda.20/_/sku/91946019,
6022,BLOOM,facebook,30840,The Gentle Muse,yes,product,Bloom Sparkling Energy Cherry Lime,https://club.target.com/s/amanda.20/_/sku/91946019,
5215,DISHWASHER,instagram,45886,thegentlemuse2026,yes,product,Molly's Suds dishwasher pods,https://club.target.com/s/amanda.20/_/sku/94851578,
6024,DISHWASHER,facebook,30840,The Gentle Muse,yes,product,Molly's Suds dishwasher pods,https://club.target.com/s/amanda.20/_/sku/94851578,
2277,FALLFIT,instagram,45886,thegentlemuse2026,yes,product,Universal Thread Open Stitch Cozy Cardigan,https://club.target.com/a/amanda.20,BROKEN sku 94430282 is dead the DM falls back to the storefront
453,MASK,facebook,30840,The Gentle Muse,yes,product,medicube Kojic Acid Turmeric Jelly Gel Mask,https://club.target.com/a/amanda.20,BROKEN no sku the DM falls back to the storefront
451,SESSION,instagram,45886,thegentlemuse2026,yes,own-product,Decision Session,https://payhip.com/b/upvAa,
448,BUDGET,instagram,45886,thegentlemuse2026,yes,own-product,Paycheck Planner,https://payhip.com/b/96U8s,her own product so the price in the DM is allowed
1424,GUIDE,instagram,45886,thegentlemuse2026,yes,magnet,Beginner's Guide to AI Tools 59 page PDF,https://ai-guide.subscribepage.io,
1422,GUIDE,facebook,30840,The Gentle Muse,yes,magnet,Beginner's Guide to AI Tools 59 page PDF,https://ai-guide.subscribepage.io,
1393,CONSIDER,instagram,45886,thegentlemuse2026,yes,magnet,Consider This weekly newsletter,https://consider-this.subscribepage.io,
1394,CONSIDER,facebook,30840,The Gentle Muse,yes,magnet,Consider This weekly newsletter,https://consider-this.subscribepage.io,
2954,CONSIDER,instagram,65540,cesasgoldenyears,yes,magnet,Consider This weekly newsletter,https://consider-this.subscribepage.io,
435,RESET,instagram,45886,thegentlemuse2026,yes,magnet,Gentle Self-Reset Checklist,https://payhip.com/b/9FE2U,
2778,RESET,facebook,30840,The Gentle Muse,yes,magnet,Gentle Self-Reset Checklist,https://payhip.com/b/9FE2U,
2771,TUESDAY,instagram,45886,thegentlemuse2026,yes,magnet,Just Another Tuesday weekly newsletter,https://just-another-tuesday-gm.subscribepage.io,
2772,TUESDAY,facebook,30840,The Gentle Muse,yes,magnet,Just Another Tuesday weekly newsletter,https://just-another-tuesday-gm.subscribepage.io,
445,CESA,instagram,45886,thegentlemuse2026,yes,magnet,19 Years Old 10 of Them Mine 15 page PDF,https://cesa-guide.subscribepage.io,
432,CESA,facebook,30840,The Gentle Muse,yes,magnet,19 Years Old 10 of Them Mine 15 page PDF,https://cesa-guide.subscribepage.io,
2952,CESA,instagram,65540,cesasgoldenyears,yes,magnet,19 Years Old 10 of Them Mine 15 page PDF,https://cesa-guide.subscribepage.io,
1019,PLAY,instagram,45886,thegentlemuse2026,yes,magnet,Press Play 10 free audiobooks,https://press-play.subscribepage.io,
1020,PLAY,facebook,30840,The Gentle Muse,yes,magnet,Press Play 10 free audiobooks,https://press-play.subscribepage.io,
4009,SEASONAL,instagram,45886,thegentlemuse2026,yes,magnet,Consider This seasonal angle,https://consider-this.subscribepage.io,
4010,SEASONAL,facebook,30840,The Gentle Muse,yes,magnet,Consider This seasonal angle,https://consider-this.subscribepage.io,
4011,SEASONAL,instagram,65540,cesasgoldenyears,yes,magnet,Consider This seasonal angle,https://consider-this.subscribepage.io,
3994,BOTTLENECK,instagram,45886,thegentlemuse2026,yes,magnet,Business Bottleneck Check 2 minute diagnostic,https://www.gentlemuse.co/business-bottleneck-check,
3995,BOTTLENECK,facebook,30840,The Gentle Muse,yes,magnet,Business Bottleneck Check 2 minute diagnostic,https://www.gentlemuse.co/business-bottleneck-check,
415,collab,instagram,45886,thegentlemuse2026,yes,screening,PR collaboration screening reply,,fires on DM not on a comment so it is not a caption CTA
450,promo,instagram,45886,thegentlemuse2026,no,screening,promotional offer decline,https://gentlemuse.co/,inactive draft
446,AI,instagram,45886,thegentlemuse2026,no,own-product,AI Tools Beginner Guide paid version,https://payhip.com/b/PX8xh,inactive draft superseded by the free GUIDE magnet
447,TUESDAY,instagram,45886,thegentlemuse2026,no,magnet,Just Another Tuesday,https://just-another-tuesday-gm.subscribepage.io,retired use 2771 which captures the email
427,TUESDAY,facebook,30840,The Gentle Muse,no,magnet,Just Another Tuesday,https://just-another-tuesday-gm.subscribepage.io,retired use 2772 which captures the email
413,RESET,facebook,30840,The Gentle Muse,no,magnet,Reset Guide,https://www.gentlemuse.co/reset-guide,inactive draft dead URL
412,RESET,facebook,30840,The Gentle Muse,no,magnet,Gentle Self-Reset Checklist,https://payhip.com/b/9FE2U,inactive draft superseded by 2778
