Keyword,Magnet,DeliversWhat,URL,LiveAccountIds,LivePlatforms,ServesSlot,Kind,Lane,Claim,Status,Evidence
GUIDE,10 Hours Ahead,59 page PDF,https://ai-guide.subscribepage.io,45886|30840,instagram|facebook,Life Story / Lessons,magnet,build,59 pages,live,"blotato automation 1424 (IG) 1422 (FB) dmMessage, re-read live 2026-09-17"
CONSIDER,Consider This,weekly newsletter,https://consider-this.subscribepage.io,45886|30840|65540,instagram|facebook,Product / Lifestyle,magnet,home,1 note a week,live,"blotato automation 1393 (IG) 1394 (FB) 2954 (IG cesa) dmMessage, re-read live 2026-09-17"
RESET,The Reset That Survives Wednesday,free checklist,https://payhip.com/b/9FE2U,45886|30840,instagram|facebook,Soft Life / Environment,magnet,reset,10 small steps,live,"blotato automation 435 (IG) 2778 (FB) dmMessage, re-read live 2026-09-17"
TUESDAY,Just Another Tuesday,weekly newsletter,https://just-another-tuesday-gm.subscribepage.io,45886|30840,instagram|facebook,Mindset / Reflection,magnet,build,1 email a week,live,"blotato automation 2771 (IG) 2772 (FB) dmMessage, re-read live 2026-09-17"
CESA,"19 Years Old, 10 of Them Mine",15 page PDF,https://cesa-guide.subscribepage.io,45886|30840|65540,instagram|facebook,Relaxed Lifestyle,magnet,cesa,15 pages,live,"blotato automation 445 (IG) 432 (FB) 2952 (IG cesa) dmMessage, re-read live 2026-09-17"
PLAY,Press Play,10 free audiobooks list,https://press-play.subscribepage.io,45886|30840,instagram|facebook,Life Story / Lessons,magnet,build,10 books,live,"blotato automation 1019 (IG) 1020 (FB) dmMessage, re-read live 2026-09-17"
SEASONAL,Consider This (seasonal angle),weekly newsletter,https://consider-this.subscribepage.io,45886|30840|65540,instagram|facebook,Mindset / Reflection,magnet,history,1 note a week,live,"blotato automation 4009 (IG) 4010 (FB) 4011 (IG cesa) dmMessage, re-read live 2026-09-17"
BOTTLENECK,Business Bottleneck Check,2 minute diagnostic,https://www.gentlemuse.co/business-bottleneck-check,45886|30840,instagram|facebook,Mindset / Reflection,magnet,build,2 minutes,live,"blotato automation 3994 (IG) 3995 (FB) dmMessage, re-read live 2026-09-17"
PRINCESS,"19 Years Old, 10 of Them Mine",15 page PDF,https://cesa-guide.subscribepage.io,65540,instagram,Relaxed Lifestyle,magnet,cesa,15 pages,live,"blotato automation 2952 (IG cesa) dmMessage, 1 of 47 trigger phrases on that automation, read live 2026-09-17"
DECISION,The Decision Map,"voice notes in, written map back",https://payhip.com/b/upvAa,45886,instagram,Mindset / Reflection,offer,build,3 business days,live,"blotato automation 451 (IG) active and published, read live 2026-09-17"
BUDGET,Done Reacting to Money,39 page biweekly paycheck planner,https://payhip.com/b/96U8s,45886,instagram,Product / Lifestyle,offer,build,39 pages,live,"blotato automation 448 (IG) active and published, read live 2026-09-17"
CLEANUP,The Chaos Cleanup Plan,"audit, 1 live call and a written 30 day roadmap",https://www.gentlemuse.co/cleanup,45886|30840,instagram|facebook,Mindset / Reflection,offer,build,30 day roadmap,draft,"blotato automation 7213 (IG) 7214 (FB), present but inactive and unpublished, read live 2026-09-17"
RETAINER,Monthly Cleanup Retainer,up to 10 hours a month plus a weekly written update,https://www.gentlemuse.co/services-inquiry,45886|30840,instagram|facebook,Mindset / Reflection,offer,build,10 hours,draft,"blotato automation 7215 (IG) 7216 (FB), present but inactive and unpublished, read live 2026-09-17"
AFFILIATE PROGRAM,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
BLOOM,Bloom Sparkling Energy Cherry Lime,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/91946019,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 2278 (IN) 6022 (FA), active and published, read live 2026-09-17"
BRACELET,Adornia Clover Bracelet,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/1004621500,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 417 (FA) 437 (IN), active and published, read live 2026-09-17"
BRAND AMBASSADOR,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
BROW,NYX Thick It Stick It Brow Gel,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/83347380,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 423 (FA) 439 (IN), active and published, read live 2026-09-17"
BUTTER,Tree Hut Whipped Body Butter,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/83245016,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 443 (IN) 6020 (FA), active and published, read live 2026-09-17"
COLLAB,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
CURLTALK,Not Your Mother's Curl Talk,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/76550582,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 2276 (IN) 6023 (FA), active and published, read live 2026-09-17"
DENIM,Universal Thread High-Rise Straight Jeans,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/94332983,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6938 (IN), active and published, read live 2026-09-17"
DISHWASHER,Molly's Suds pods,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/94851578,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 5215 (IN) 6024 (FA), active and published, read live 2026-09-17"
FALLFIT,Universal Thread Crewneck Pullover,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/94966870,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 2277 (IN), active and published, read live 2026-09-17"
FALLPICKS,Target fall rack (storefront),affiliate or brand link,https://club.target.com/a/amanda.20,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6945 (IN), active and published, read live 2026-09-17"
FLAVCITY,Coffee with Benefits Variety Pack,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/95123340,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6940 (IN), active and published, read live 2026-09-17"
GAMEDAY,Target game day run (storefront),affiliate or brand link,https://club.target.com/a/amanda.20,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6943 (IN), active and published, read live 2026-09-17"
GAMENIGHT,Target game aisle (storefront),affiliate or brand link,https://club.target.com/a/amanda.20,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6942 (IN), active and published, read live 2026-09-17"
GEL,medicube Capsule Cream,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/1010763977,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 454 (IN) 6025 (FA), active and published, read live 2026-09-17"
GIFTED COLLAB,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
GIFTED PRODUCT,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
HIBISCUS,Tree Hut Pink Hibiscus Scrub,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/89094549,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 420 (FA) 434 (IN), active and published, read live 2026-09-17"
KUROMI,A-Sha Kuromi x KATSEYE Popping Boba,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/1011093652,45886,instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 6941 (IN), active and published, read live 2026-09-17"
LIKE TO COLLAB,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
LIPDRIP,NYX Fat Oil Lip Drip,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/87824456,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 440 (IN) 6021 (FA), active and published, read live 2026-09-17"
MASK,medicube Turmeric Mask,affiliate or brand link,https://club.target.com/a/amanda.20,30840,facebook,PAID zone,affiliate,affiliate,,live,"blotato automation 453 (FA), active and published, read live 2026-09-17"
NATIVE,Draft (ManyChat migration),affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/76612085,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 426 (FA) 442 (IN), active and published, read live 2026-09-17"
NECKLACE,Adornia Clover Necklace,affiliate or brand link,https://club.target.com/s/amanda.20/_/sku/1005653750,30840|45886,facebook|instagram,PAID zone,affiliate,affiliate,,live,"blotato automation 418 (FA) 438 (IN), active and published, read live 2026-09-17"
PAID PARTNERSHIP,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
PARTNER WITH US,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
PARTNERSHIP OPPORTUNITY,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
PR LIST,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
PR PACKAGE,PR Collaboration Screening (IG),"inbound brand enquiry, screened",,45886,instagram,inbound,screening,screening,,live,"blotato automation 415 (IN), active and published, read live 2026-09-17"
