BlotatoID,IntendedLocal,Platform,AccountId,Handle,Text,MediaUrls,TargetJSON,Status,Why
3824821,2026-09-02 11:20,pinterest,6328,TheGentleMuse2026,"You do not need to be 10 years ahead on AI. About 10 hours is enough. A free 59 page guide in plain language, written by someone who was 60 days in, not 10 years.",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/01eade4f-a854-4e39-b872-1fe06fb0b0e1.png,"{""link"":""https://ai-guide.subscribepage.io"",""title"":""21 free AI courses most people never find"",""altText"":""Editorial card: 10 hours ahead is enough. Free 59 page AI guide."",""boardId"":""792985515578875894"",""targetType"":""pinterest""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3630591,2026-09-02 18:00,tiktok,41488,thegentlemuse2026,"Some days do not need to be extraordinary to be unforgettable.

Follow along for more of these. The Gentle Self-Reset Checklist is in my bio, free and short on purpose.

#LearnOnTikTok #gentlemuse #softlife #slowliving #womenover40",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/73626d1e-55a2-4d7f-9e13-b36e8268de7c.mp4,"{""targetType"":""tiktok"",""isYourBrand"":false,""disabledDuet"":false,""privacyLevel"":""PUBLIC_TO_EVERYONE"",""isAiGenerated"":false,""disabledStitch"":false,""disabledComments"":false,""isBrandedContent"":false}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3926380,2026-09-02 18:00,instagram,45886,thegentlemuse2026,"Coming home to her after a long shift. She doesn't care how the day went or what got done. She just wants me back. She's 19.

Comment CESA and I'll send you her free comfort guide. No vet talk, just what keeps her easy.

#gentlemuse #seniordog #dogmom #chihuahua #cesasgoldenyears",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6872068-adef-4481-83af-bb4c803f0cad.mp4,"{""mediaType"":""reel"",""targetType"":""instagram""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3630602,2026-09-03 08:30,linkedin,20723,AMANDA KERSH,"The glow up is not always a new body, a new house, or a whole new life. Sometimes it is simply deciding it is a beautiful day and finally showing up like you belong in it.

Which version are you working on right now?

Follow along for more of these. The Gentle Self-Reset Checklist is free and short on purpose, and the only instruction is to pick 1 line.

https://payhip.com/b/9FE2U",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/2581279a-1cf5-42f5-b151-3c4de6f29a6e.mp4,"{""targetType"":""linkedin""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
4024407,2026-09-03 08:30,twitter,21430,GentleMuse2026,"A week off doesn't fix a system that drains you. A reset changes how the ordinary days feel. Ten gentle steps, free, in the Gentle Muse Reset Guide.",,"{""targetType"":""twitter""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
4021938,2026-09-03 10:00,instagram,45886,thegentlemuse2026,"She hears the car before the door.

By the time I'm inside she's already up, and getting up takes her longer than it used to. No bark. Just the walk toward me.

She waited all day for those 4 seconds.

Follow @cesasgoldenyears for more of her.

#seniordog #chihuahua #dogmom #cesasgoldenyears",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/000820c0-3083-4dcb-9470-484e3350b8c6.mp4,"{""mediaType"":""reel"",""targetType"":""instagram"",""shareToFeed"":true}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3824830,2026-09-03 11:20,pinterest,6328,TheGentleMuse2026,"A clogged dryer duct is a fire risk, and the screen you empty every load tells you nothing about it. 1 free email a week on the things in your home you've stopped noticing.",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d0d9c264-21d1-4c11-8474-263f4bede15a.png,"{""link"":""https://consider-this.subscribepage.io"",""title"":""Your lint screen is clean. The duct behind it isn't."",""altText"":""Editorial card listing 5 things in your house that aren't doing what you think."",""boardId"":""792985515578875904"",""targetType"":""pinterest""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3630600,2026-09-03 12:00,tiktok,41488,thegentlemuse2026,"Women over 40 after 1 cute outfit, 1 good hair day, and absolutely no invitation. We appointed ourselves and we are going.

Tag someone in her self appointed model era 👇

Follow along, and the weekly note is in my bio.

#LearnOnTikTok #gentlemuse #womenover40 #confidence #softlife",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/afd6c323-8123-4c33-8e93-ed40e0394f0e.mp4,"{""targetType"":""tiktok"",""isYourBrand"":false,""disabledDuet"":false,""privacyLevel"":""PUBLIC_TO_EVERYONE"",""isAiGenerated"":false,""disabledStitch"":false,""disabledComments"":false,""isBrandedContent"":false}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
3824829,2026-09-03 12:00,facebook,30840,The Gentle Muse ,"Your lint screen is clean. The duct behind it isn't.

That's today's issue, and it's the one that actually matters, because a clogged duct is a fire risk and the screen you empty every load tells you nothing about it.

This is the whole idea behind Consider This. 1 overlooked thing in your home a week, what's actually going on with it, and whether it's worth 2 minutes of your time. No 40-step routine. No pressure to buy anything.

Send this to whoever does the laundry in your house.

Comment CONSIDER and I'll add you.",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/9a4f9fcc-c750-49a7-8290-63c954117850.png,"{""pageId"":""1086399221215093"",""targetType"":""facebook""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
4019104,2026-09-03 12:00,instagram,45886,thegentlemuse2026,"I used to say I had no time to read. Then I counted the drive.

The drive, the dishes, the laundry, groceries. Almost 2 hours a day with my hands busy and my ears free.

I didn't add anything to my day. I stopped filling that time with scrolling.

Comment PLAY and I'll send you the list.",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/32879901-2049-46e8-bcbc-5a1998a8b305.jpeg,"{""targetType"":""instagram""}",scheduled,snapshot taken 2026-09-02 before the 14 day window was enforced
